"_wks_percentile_bucket","_wkshell","AverageShortestPathLength","BetweennessCentrality","ClosenessCentrality","ClusteringCoefficient","Degree","Eccentricity","GO","IsSingleNode","layers_ppin","name","NeighborhoodConnectivity","noefftarg","NumberOfDirectedEdges","NumberOfUndirectedEdges","PartnerOfMultiEdgedNodePairs","Phenotype","Radiality","selected","SelfLoops","shared name","shells_ppin","Stress","targ","TopologicalCoefficient","Yali_pheno","Yali_pheno111"
"5","2","5.64590542","0.0","0.17711951","0.0","1","9","","false","Peripharal","AT5G66200","3.0","","1","0","0","","0.57764496","false","0","AT5G66200","47","0","EffeTarg","0.0","",""
"15","4","5.07266436","0.0","0.19713506","0.0","1","9","","false","Peripharal","AT5G65210","7.0","","1","0","0","","0.62975779","false","0","AT5G65210","47","0","EffeTarg","0.0","",""
"20","6","4.97923875","0.0","0.20083391","0.0","1","8","","false","Peripharal","AT5G61390","10.0","","1","0","0","","0.63825102","false","0","AT5G61390","47","0","EffeTarg","0.0","",""
"20","5","5.27566321","0.0","0.18954963","0.0","1","8","","false","Peripharal","AT5G59650","9.0","","1","0","0","","0.61130334","false","0","AT5G59650","47","0","EffeTarg","0.0","",""
"5","2","5.5467128","0.0","0.18028696","0.0","1","9","","false","Peripharal","AT5G57280","2.0","","1","0","0","","0.58666247","false","0","AT5G57280","47","0","","0.0","",""
"45","18","4.04036909","0.00261173","0.24750214","0.0","2","7","","false","inner","AT5G57210","23.0","","2","0","0","","0.72360281","false","0","AT5G57210","22","48482","EffeTarg","0.53658537","",""
"45","20","3.97001153","0.00385742","0.25188844","0.0","3","7","","false","inner","AT5G55100","14.66666667","","3","0","0","","0.72999895","false","0","AT5G55100","21","56282","EffeTarg","0.35964912","",""
"25","8","4.82352941","0.0","0.20731707","0.0","1","8","","false","Peripharal","AT5G52840","15.0","","1","0","0","","0.65240642","false","0","AT5G52840","38","0","","0.0","",""
"30","13","4.74279123","0.0","0.2108463","0.0","1","8","","false","Peripharal","AT5G52750","25.0","","1","0","0","","0.65974625","false","0","AT5G52750","28","0","EffeTarg","0.0","",""
"15","5","4.88696655","0.0","0.20462591","0.0","1","8","","false","Peripharal","AT5G50010","9.0","","1","0","0","","0.6466394","false","0","AT5G50010","47","0","EffeTarg","0.0","",""
"5","2","6.50865052","0.0","0.15364168","0.0","1","10","","false","Peripharal","AT5G44700","2.0","","1","0","0","2MRP","0.49921359","false","0","AT5G44700","47","0","","0.0","Yali","Yali"
"15","5","5.5455594","0.0","0.18032446","0.0","1","9","","false","Peripharal","AT5G44110","8.0","","1","0","0","","0.58676733","false","0","AT5G44110","47","0","","0.0","",""
"0","1","1.0","0.0","1.0","0.0","1","1","","false","","HOPH1_group","1.0","","1","0","0","","1.0","false","0","HOPH1_group",,"0","","0.0","",""
"0","1","1.0","0.0","1.0","0.0","1","1","","false","Peripharal","AT5G43700","1.0","","1","0","0","5NO PHE5NOTYPE","1.0","false","0","AT5G43700","54","0","EffeTarg","0.0","",""
"5","2","7.27912341","0.0","0.13737918","0.0","1","11","","false","Peripharal","AT5G40590","2.0","","1","0","0","","0.4291706","false","0","AT5G40590","47","0","","0.0","",""
"15","5","5.69434833","0.0","0.17561272","0.0","1","9","","false","Peripharal","AT5G27860","8.0","","1","0","0","","0.57324106","false","0","AT5G27860","47","0","EffeTarg","0.0","",""
"0","1","1.0","0.0","1.0","0.0","1","1","","false","Peripharal","HARXLL446","1.0","NoTarg","1","0","0","","1.0","false","0","HARXLL446","49","0","","0.0","",""
"0","1","1.0","0.0","1.0","0.0","1","1","","false","Peripharal","AT5G25070","1.0","","1","0","0","","1.0","false","0","AT5G25070","55","0","EffeTarg","0.0","",""
"45","19","4.272203","0.00133652","0.23407127","0.0","3","8","","false","inner","AT5G24660","12.66666667","","3","0","0","","0.702527","false","0","AT5G24660","22","16034","EffeTarg","0.38888889","",""
"55","22","5.66435986","0.0","0.17654246","0.0","1","9","","false","inner","AT5G23340","43.0","","1","0","0","","0.57596729","false","0","AT5G23340","18","0","","0.0","",""
"10","3","5.07843137","0.0","0.1969112","0.0","1","9","","false","Peripharal","AT5G20030","5.0","","1","0","0","","0.62923351","false","0","AT5G20030","47","0","EffeTarg","0.0","",""
"10","3","5.07843137","0.0","0.1969112","0.0","1","9","","false","Peripharal","AT5G20000","5.0","","1","0","0","","0.62923351","false","0","AT5G20000","47","0","EffeTarg","0.0","",""
"10","3","5.07843137","0.0","0.1969112","0.0","1","9","","false","Peripharal","AT5G19990","5.0","","1","0","0","","0.62923351","false","0","AT5G19990","47","0","EffeTarg","0.0","",""
"30","13","4.37254902","0.00231715","0.22869955","0.0","2","8","","false","Peripharal","AT5G19480","14.5","","2","0","0","","0.69340463","false","0","AT5G19480","28","11386","EffeTarg","0.51923077","",""
"5","2","5.86620531","0.0","0.17046795","0.0","1","9","","false","Peripharal","AT5G19150","3.0","","1","0","0","","0.5576177","false","0","AT5G19150","47","0","","0.0","",""
"10","3","5.06805075","0.0","0.19731452","0.0","1","8","","false","Peripharal","AT5G16940","4.0","","1","0","0","","0.6301772","false","0","AT5G16940","47","0","EffeTarg","0.0","",""
